,Seq#,ID#,Gender,M,R,F,FirstPurch,ChildBks,YouthBks,CookBks,DoItYBks,RefBks,ArtBks,GeogBks,ItalCook,ItalAtlas,ItalArt,Florence,Related Purchase,Yes_Florence,No_Florence,Name,Phone_No.,Address,Job
0,1,25,1,297.0,14.0,2.0,22,0,1,1,0,0,0,0,0,0,0,0,0,0,1,David Myers,001-791-399-5315x363,"888 Megan Knoll Apt. 557
Lake Desireeton, VT 29179","Engineer, control and instrumentation"
1,2,29,0,128.0,8.0,2.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Joseph Martinez,457-853-5414x5862,"PSC 7668, Box 1389
APO AP 02993",Civil Service fast streamer
2,3,46,1,138.0,22.0,7.0,56,2,1,2,0,1,0,1,1,0,0,0,2,0,1,Mary Robertson,001-158-219-2072,"PSC 9260, Box 3091
APO AA 38639","Designer, exhibition/display"
3,4,47,1,228.0,2.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Donna Brown,(294)715-2124,"833 Michael Meadow Suite 594
Jennifermouth, NH 50940",Lawyer
4,5,51,1,257.0,10.0,1.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Nicholas Cook,347.504.7480x55105,"35509 Villegas Lane
East Karenville, MT 73633",Data scientist
5,6,60,1,145.0,6.0,2.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Rachel Stewart,725.452.9784x18338,"6305 David Fall Apt. 100
Lake Russell, KY 46819","Conservation officer, nature"
6,7,61,1,190.0,16.0,1.0,16,0,0,0,0,0,0,1,0,0,0,0,1,0,1,Carrie Gilbert,001-458-917-9140x5559,"5378 Hogan Squares
Lake Paul, CO 73317",Administrator
7,8,79,1,187.0,,1.0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Jade White,045-771-5928x807,"9108 Flores Springs
North Ginahaven, NJ 32318",Fisheries officer
8,9,81,1,252.0,10.0,1.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Benjamin Flores,(317)895-6714,"8933 Michael Squares
New Allison, SC 43378",Teaching laboratory technician
9,10,90,1,240.0,6.0,3.0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Jeffrey Ayala,001-296-110-0933x769,"5702 Cameron Heights Apt. 838
North Tarafurt, AR 86417",Animal nutritionist
10,11,95,1,275.0,,4.0,20,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Raymond Figueroa,364-321-6492x78897,"224 Lopez Land Apt. 604
Port Kennethfurt, WY 35346",Television/film/video producer
11,12,100,0,320.0,2.0,3.0,18,0,0,0,0,0,1,0,0,0,0,1,1,1,0,Matthew Cruz,+1-854-272-1158x97871,"4762 Taylor Path
Sawyerburgh, WI 37408",Ecologist
12,13,103,1,268.0,4.0,,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Linda Stewart,731.047.8427,"8477 Lindsay Ridge Apt. 203
West Michelleview, VA 13378",Chief Financial Officer
13,14,112,0,135.0,14.0,1.0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Allison Parker,+1-484-432-1192,"90022 Joseph Junctions Apt. 049
Karaland, IA 53906",Television/film/video producer
14,15,116,1,213.0,4.0,2.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,John Morgan,509-208-0384,"17485 Shannon Summit Suite 097
Meganstad, HI 15179",Counsellor
15,16,121,1,256.0,14.0,9.0,58,2,0,3,0,1,1,2,1,1,1,0,6,0,1,Christina Whitaker,+1-273-249-5785x39117,"17563 Terri Lodge Apt. 590
West Kellyton, VA 01447","Lecturer, further education"
16,17,125,1,226.0,14.0,6.0,28,2,1,2,0,0,1,0,1,0,0,0,2,0,1,Daniel Cherry,(486)185-9034,"50420 Newman Street
South Randymouth, MI 86883",Cytogeneticist
17,18,126,0,,22.0,1.0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Glen Flores,272-310-9908,"14803 Chelsea Park Suite 056
Lake Christineshire, NJ 93842","Embryologist, clinical"
18,19,127,1,330.0,10.0,10.0,38,0,0,2,2,1,1,0,0,0,0,0,1,0,1,Holly Rodriguez,(538)262-0951,"9374 Bonnie Summit Apt. 990
Lake Juanborough, UT 54655",Town planner
19,20,145,1,393.0,,11.0,50,3,0,2,0,0,2,3,0,0,0,1,5,1,0,Kayla Wood,(779)052-0160x3920,"36373 Rodney Highway
North Ronald, ND 90024",Charity fundraiser
20,21,164,1,213.0,,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Karen Wright,001-850-487-9483x518,"USCGC Hall
FPO AP 78721",Hotel manager
21,22,169,1,243.0,10.0,1.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Susan Bullock,604.521.2473x16381,"942 Christian Plaza Apt. 004
Travisborough, WI 12153",Clinical molecular geneticist
22,23,193,1,63.0,4.0,1.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Tracy Jacobson,+1-749-225-4402x0097,"05135 Eric Stravenue
Wattsmouth, OR 55472",Technical author
23,24,201,1,57.0,2.0,1.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ann Johnson,(271)597-3433x870,"60218 Murphy Expressway
New Anthonyview, HI 06214",Colour technologist
24,25,202,0,260.0,34.0,11.0,74,0,2,3,5,0,1,0,0,0,0,0,1,0,1,Natalie Wilson,802.906.3337x14741,"61001 Flores Inlet
Norrisburgh, KS 90871",Prison officer
25,26,208,1,32.0,26.0,2.0,32,1,0,0,0,0,0,1,0,0,0,0,1,0,1,Alex Lee,+1-662-820-6694x4079,"776 Mcclain Common Suite 852
Andreston, LA 23548","Engineer, technical sales"
26,27,214,0,177.0,24.0,1.0,24,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Elizabeth Anderson,987-585-5003x76133,"61166 Carter Shoal Apt. 919
Benjaminburgh, IN 63332",Press photographer
27,28,224,1,33.0,12.0,1.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Benjamin Anthony,459.338.2783,"PSC 0268, Box 0071
APO AA 22733","Scientist, marine"
28,29,225,1,172.0,16.0,1.0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Lisa Johnson,001-886-860-5367,"885 Robert Courts Apt. 431
South Ashleyhaven, CA 91062","Engineer, site"
29,30,256,1,133.0,,2.0,36,1,0,1,0,0,0,0,1,0,0,0,1,0,1,Kendra Hodge,+1-949-315-5907x4031,"Unit 6053 Box 6161
DPO AE 64113",Commercial/residential surveyor
30,31,257,1,194.0,28.0,2.0,30,1,0,1,0,0,0,0,1,0,0,0,1,0,1,Jody Young,5313655421,"4042 Ryan Neck Suite 224
South John, MA 02078",Art therapist
31,32,263,0,32.0,,1.0,14,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Melvin Gomez,001-458-488-0466,"955 Sanders Underpass Suite 318
Hansenfurt, NM 37294",Diagnostic radiographer
32,33,265,1,352.0,,11.0,66,4,1,3,1,0,1,0,2,0,1,0,4,0,1,Kelsey Gross,075.270.1117x215,"7383 Koch Pines
West Michelle, MA 07157",Optometrist
33,34,266,1,319.0,12.0,8.0,32,2,1,1,1,0,0,1,0,0,0,0,1,0,1,Kristina Stewart,001-424-355-9774x8449,"65262 Myers Flats
Bowmanstad, LA 62181",Sports development officer
34,35,267,1,242.0,10.0,5.0,32,0,0,2,0,1,1,0,0,0,0,0,1,0,1,Sarah Nguyen,(516)935-4215,"941 Morton Spurs
Port Jeanette, AZ 01763",Interior and spatial designer
35,36,275,1,78.0,6.0,2.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Karen Harrington,868-990-6664x99590,"2944 Howell Club
Murphyland, SD 46032",Armed forces technical officer
36,37,277,1,223.0,,7.0,44,2,1,1,1,0,2,0,1,0,1,0,4,0,1,Shane Elliott,205.354.3541x682,"7765 Benjamin Falls Suite 043
East Jessicamouth, ID 48358",Public librarian
37,38,282,1,285.0,14.0,11.0,52,2,0,3,4,0,1,1,1,0,0,0,3,0,1,Thomas Gibson,+1-113-316-7559x80898,"625 Clark Run Suite 985
West Kristenmouth, AK 74477",Haematologist
38,39,288,0,312.0,36.0,10.0,58,2,2,2,1,1,1,1,1,1,1,0,5,0,1,Alicia Shannon,+1-036-554-3075x0757,"18541 Jennifer Valleys Suite 165
Wellsshire, PA 54232","Investment banker, operational"
39,40,330,0,211.0,6.0,11.0,44,3,2,2,0,0,2,1,2,0,1,0,6,0,1,Eric Rivera,522-499-6804x57211,"1647 Thomas Greens
Batesborough, ME 17665",Art gallery manager
40,41,333,1,280.0,30.0,2.0,34,0,1,1,0,0,0,0,1,0,0,0,1,0,1,Sabrina Young,793.088.8771x24117,"16340 Jones Mills
Port Robert, LA 14155",Ranger/warden
41,42,340,1,320.0,28.0,3.0,38,0,0,2,0,0,1,0,0,0,0,0,1,0,1,Mrs. Marie Leonard,001-904-798-9008x14524,"USNS Garcia
FPO AA 07701",Probation officer
42,43,345,1,234.0,4.0,2.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Jeffrey Fuller,(085)737-8075x997,"6285 Bartlett Cove Suite 107
Wangport, ND 75678","Programmer, multimedia"
43,44,347,1,105.0,8.0,7.0,40,1,1,1,0,2,0,1,0,0,0,0,1,0,1,Sarah Thompson,+1-077-285-8591x5922,"22379 Joseph Mill
New Sherri, LA 99251",Training and development officer
44,45,353,0,317.0,10.0,3.0,28,0,0,0,0,0,1,1,0,0,0,0,2,0,1,Michael Davila,001-191-265-5009x50202,"17805 Hoffman Trace
West Vernon, AK 64070",Air broker
45,46,354,0,49.0,22.0,3.0,32,0,0,1,1,0,1,0,0,0,0,0,1,0,1,Michael Owens PhD,266-919-4530x038,"Unit 5973 Box 2289
DPO AA 30190",Fitness centre manager
46,47,356,0,189.0,16.0,9.0,68,1,0,1,3,1,1,2,0,0,0,0,3,0,1,Julie Bartlett,399.424.0806,"11601 Gwendolyn Forge Apt. 468
Matthewchester, KS 35305",Manufacturing systems engineer
47,48,391,1,143.0,14.0,,38,2,2,1,1,1,2,0,0,0,0,0,2,0,1,Christian Johnson,564-864-9961x3746,"601 Katherine Streets Suite 717
Jonesmouth, NE 53001",Child psychotherapist
48,49,397,1,254.0,8.0,2.0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Lauren Ochoa,001-475-981-4102x167,"73174 Arroyo Valley
New Corey, AZ 95755",Museum/gallery exhibitions officer
49,50,401,1,355.0,16.0,5.0,28,1,0,2,0,1,1,0,0,0,0,0,1,0,1,Michael Hardy,739-176-2047,"9430 Simmons Stream Apt. 517
Marshallchester, TN 36867","Librarian, public"
50,51,405,0,43.0,24.0,2.0,26,1,0,0,0,0,1,0,0,0,0,0,1,0,1,Christine Evans,+1-159-194-9313,"18219 Thornton Locks Suite 920
North Patricia, WA 19179",Ergonomist
51,52,409,1,233.0,30.0,8.0,54,0,1,2,2,0,2,1,0,0,0,0,3,0,1,Jose Harris,+1-136-237-7443,"241 Michele Radial
West Brandon, MI 72497","Designer, interior/spatial"
52,53,411,1,210.0,2.0,3.0,20,0,1,0,0,0,0,1,0,0,0,0,1,0,1,Michael Gross,671-482-7656x5111,"31381 Jarvis Drive
Pamelaville, CA 93433","Librarian, public"
53,54,436,0,310.0,,5.0,32,1,1,0,1,0,2,0,0,0,0,0,2,0,1,Amy Sheppard,(358)702-9019x0878,"3874 Richardson Wall Suite 694
Danielburgh, CO 09879",Ceramics designer
54,55,438,1,378.0,,7.0,50,0,1,1,1,0,2,1,0,0,0,0,3,0,1,Jonathan Lindsey,001-388-424-3274x954,"978 William Mall Apt. 560
Lake Greg, VA 49033",Operational investment banker
55,56,439,0,305.0,6.0,9.0,40,2,1,1,1,0,2,1,0,0,0,0,3,0,1,Stanley Campbell,246-800-2832,"5178 Mackenzie Locks
Port Briannaborough, FL 73953",Maintenance engineer
56,57,440,1,458.0,10.0,12.0,44,1,0,3,1,1,2,0,2,1,1,1,6,1,0,Ronald Nichols,001-111-521-3564,"3731 Luke Light Apt. 410
Heatherstad, IL 46286",Dentist
57,58,444,1,235.0,14.0,1.0,14,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Joseph Williams,+1-200-236-8405,"7430 Eaton Garden
Williamsport, PA 67753",Production manager
58,59,450,1,148.0,,3.0,30,1,0,2,0,0,0,0,0,0,0,0,0,0,1,Gabrielle Brown,327-932-4130x745,"4068 Ryan Stravenue
Williammouth, DE 96327","Scientist, research (physical sciences)"
59,60,453,1,154.0,10.0,7.0,46,0,1,0,1,0,1,3,0,0,0,1,4,1,0,Tyler Lyons,334.434.2178x646,"50935 Jennifer Forges
North Kyle, OK 57711",Sports therapist
60,61,477,0,123.0,12.0,2.0,16,1,0,0,0,0,0,0,0,0,0,1,0,1,0,Steven Sullivan,(244)201-5607,"4003 Sharon Trace Suite 409
Juliamouth, MN 10376",Public relations officer
61,62,480,1,118.0,8.0,2.0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Katie Marshall,(787)263-9839x9260,"65546 Garrett Mall
Port Brian, LA 44632",Furniture conservator/restorer
62,63,484,1,329.0,12.0,8.0,36,0,1,0,0,1,0,1,0,0,0,0,1,0,1,Daniel Brooks,1812283495,"Unit 4608 Box 6001
DPO AE 95368",Agricultural engineer
63,64,505,1,350.0,4.0,5.0,16,0,0,2,0,0,0,0,1,0,0,0,1,0,1,Laura Bell,(389)132-9156,"8477 David Station Apt. 617
Dorseyburgh, MN 25921","Psychologist, educational"
64,65,506,1,235.0,14.0,1.0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Jeanne Green,(754)457-2241x63614,"2692 Santiago Glens
Lake Cory, MD 87288","Physicist, medical"
65,66,553,1,126.0,16.0,8.0,48,2,1,1,2,0,0,2,1,0,0,0,3,0,1,Lori Rodgers,933.355.4961x16007,"27261 Mitchell Center
New Anitahaven, CT 41936",Agricultural engineer
